comparison,representation,coefficient,delta,paired_standard_error,paired_z,effective_events
G1_H1-G0_H0,bare,B2r,-0.0009063057028052045,0.0010304168705537276,-0.8795524692042086,25000.000000000062
G1_H1-G0_H0,bare,B2n,0.00016906709476939176,0.0009510069971558023,0.17777691991228714,25000.000000000062
G1_H1-G0_H0,bare,Ckk,-0.003978698686314965,0.0025129260879720467,-1.58329315985804,25000.000000000062
G1_H1-G0_H0,bare,Crr,-0.0006795687712069678,0.0026312000160990815,-0.2582733228371103,25000.000000000062
G1_H1-G0_H0,bare,Cnn,0.0007150753896147074,0.002293339616440673,0.3118052749311174,25000.000000000062
G1_H1-G0_H0,bare,Ckr,0.0020926706785952807,0.0025524826112907294,0.8198569774142622,25000.000000000062
G1_H1-G0_H0,bare,Crk,-0.0010165816873496305,0.0026117940246462358,-0.3892273578071782,25000.000000000062
G1_H1-G0_H0,bare,Ckn,0.002147257942377761,0.002399092037926872,0.8950294146419124,25000.000000000062
G1_H1-G0_H0,bare,Cnk,-0.0027583837408895083,0.00244337340955102,-1.1289243511070102,25000.000000000062
G1_H1-G0_H0,bare,Crn,-0.0004563649861474898,0.0023366317739265965,-0.19530890200152956,25000.000000000062
G1_H1-G0_H0,bare,Cnr,-0.0026104821198173343,0.0023470085655635767,-1.1122593066423219,25000.000000000062
G1_H0-G0_H0,dressed_all,B1k,-0.0003965125663085859,0.0010292552635584632,-0.3852422040939735,25000.000000000062
G1_H0-G0_H0,dressed_all,B1r,-0.0007973006474173191,0.0010718784854073583,-0.7438349199763179,25000.000000000062
G1_H0-G0_H0,dressed_all,B1n,-0.0004003840571173978,0.000985213292902296,-0.4063932754479228,25000.000000000062
G1_H0-G0_H0,dressed_all,B2k,0.0010927064885977774,0.001068941999589258,1.0222317852770786,25000.000000000062
G1_H0-G0_H0,dressed_all,B2r,-0.0011930132728438173,0.001036716039654364,-1.1507618549449299,25000.000000000062
G1_H0-G0_H0,dressed_all,B2n,0.0005027635287432516,0.0010029786301503653,0.5012704295283718,25000.000000000062
G1_H0-G0_H0,dressed_all,Ckk,0.0009143929492573556,0.002543656419853092,0.35947974031420726,25000.000000000062
G1_H0-G0_H0,dressed_all,Crr,-0.00027530033928235896,0.00265387159120084,-0.10373536541675303,25000.000000000062
G1_H0-G0_H0,dressed_all,Cnn,0.0034803962972084473,0.0023713959034970685,1.467657210706972,25000.000000000062
G1_H0-G0_H0,dressed_all,Ckr,0.002129079010884263,0.0025090829687336707,0.8485486679457256,25000.000000000062
G1_H0-G0_H0,dressed_all,Crk,-0.0006139758347534217,0.0027502628464078868,-0.22324260226811934,25000.000000000062
G1_H0-G0_H0,dressed_all,Ckn,-0.0004033152746757668,0.002423935939546806,-0.16638858647030624,25000.000000000062
G1_H0-G0_H0,dressed_all,Cnk,0.0005284643875839694,0.0026192817004333357,0.20175927907889402,25000.000000000062
G1_H0-G0_H0,dressed_all,Crn,-0.005513477759685886,0.002471447671382655,-2.2308697139443634,25000.000000000062
G1_H0-G0_H0,dressed_all,Cnr,-0.0006637720761324968,0.002379105101402595,-0.2790007367649171,25000.000000000062
G0_H1-G0_H0,dressed_all,B1k,-0.0006174266525120931,0.0009855305069994171,-0.6264916693364808,25000.000000000062
G0_H1-G0_H0,dressed_all,B1r,-0.0012279837847761637,0.0010233486859947908,-1.199966151891277,25000.000000000062
G0_H1-G0_H0,dressed_all,B1n,-0.0003734937193035654,0.0009708583589105344,-0.3847046439633974,25000.000000000062
G0_H1-G0_H0,dressed_all,B2k,-0.0004438024573236104,0.0010713189666770838,-0.41425800450462946,25000.000000000062
G0_H1-G0_H0,dressed_all,B2r,0.00021395782086613293,0.0010056686080943513,0.21275181421001413,25000.000000000062
G0_H1-G0_H0,dressed_all,B2n,-9.228922768477846e-05,0.0009834363271281823,-0.09384362275316821,25000.000000000062
G0_H1-G0_H0,dressed_all,Ckk,-0.003014096500055031,0.0025385233825605015,-1.187342421488684,25000.000000000062
G0_H1-G0_H0,dressed_all,Crr,0.002413938311314136,0.0025103441378980236,0.9615965695187072,25000.000000000062
G0_H1-G0_H0,dressed_all,Cnn,0.001625648377484803,0.002404275983420688,0.6761488234690548,25000.000000000062
G0_H1-G0_H0,dressed_all,Ckr,0.0045822983813728485,0.002496567905948325,1.8354391124131093,25000.000000000062
G0_H1-G0_H0,dressed_all,Crk,-0.0032216761618945825,0.0027018942505041255,-1.1923768523854976,25000.000000000062
G0_H1-G0_H0,dressed_all,Ckn,0.001002718861905516,0.002329916856409363,0.43036680006290307,25000.000000000062
G0_H1-G0_H0,dressed_all,Cnk,-0.0025931099879118917,0.0024851672983485376,-1.0434347778658946,25000.000000000062
G0_H1-G0_H0,dressed_all,Crn,-0.0009572741187911434,0.0024489635303117556,-0.39088949547128676,25000.000000000062
G0_H1-G0_H0,dressed_all,Cnr,0.0007817685652699442,0.002244984315282012,0.34822896531984876,25000.000000000062
G1_H1-G0_H0,dressed_all,B1k,-0.000632042432682703,0.0010261750654323866,-0.6159206688737727,25000.000000000062
