variant,representation,observable,mean,standard_error,effective_events
G0_H1,dressed_all,cos_opening_ll_tt,-0.117870397272137,0.0036218365869711915,25000.000000000062
G0_H1,dressed_all,opening_ll_tt,1.7107483668287555,0.00429778586615319,25000.000000000062
G0_H1,dressed_all,cp_triple_product,-0.0018267088412442086,0.00299605761826586,25000.000000000062
G1_H1,dressed_all,lepton_plus_pt_GeV,37.66434177674213,0.1196818874772937,25000.000000000062
G1_H1,dressed_all,lepton_minus_pt_GeV,37.86967056369715,0.12051914302812287,25000.000000000062
G1_H1,dressed_all,delta_phi_ll_lab,1.6004608688610678,0.005754149353176064,25000.000000000062
G1_H1,dressed_all,delta_phi_ll_tt,1.6005077363592741,0.005753613224021553,25000.000000000062
G1_H1,dressed_all,cos_opening_ll_tt,-0.11816531151634727,0.0036182196877393527,25000.000000000062
G1_H1,dressed_all,opening_ll_tt,1.7110170467271628,0.004293812305947647,25000.000000000062
G1_H1,dressed_all,cp_triple_product,-0.0019851794201108147,0.0029983618981080993,25000.000000000062
G0_H0,dressed_prompt,lepton_plus_pt_GeV,37.61710583811598,0.11963378768389288,25000.000000000062
G0_H0,dressed_prompt,lepton_minus_pt_GeV,37.79720182803496,0.12037040762540789,25000.000000000062
G0_H0,dressed_prompt,delta_phi_ll_lab,1.5999622945912793,0.005758493775392154,25000.000000000062
G0_H0,dressed_prompt,delta_phi_ll_tt,1.599985929809499,0.005757988135510668,25000.000000000062
G0_H0,dressed_prompt,cos_opening_ll_tt,-0.1176279685727052,0.0036178193586824145,25000.000000000062
G0_H0,dressed_prompt,opening_ll_tt,1.7104502070980911,0.004294372509331053,25000.000000000062
G0_H0,dressed_prompt,cp_triple_product,-0.0019821631131888414,0.002997896577293207,25000.000000000062
G1_H0,dressed_prompt,lepton_plus_pt_GeV,37.59213418416736,0.1197408042803485,25000.000000000062
G1_H0,dressed_prompt,lepton_minus_pt_GeV,37.8261725516799,0.12051002800239317,25000.000000000062
G1_H0,dressed_prompt,delta_phi_ll_lab,1.6009329937937744,0.005754573561706184,25000.000000000062
G1_H0,dressed_prompt,delta_phi_ll_tt,1.600981559457922,0.005754113454073991,25000.000000000062
G1_H0,dressed_prompt,cos_opening_ll_tt,-0.11786302364641958,0.0036184410403119374,25000.000000000062
G1_H0,dressed_prompt,opening_ll_tt,1.7107978998079623,0.004294490247243823,25000.000000000062
G1_H0,dressed_prompt,cp_triple_product,-0.0021269623718890933,0.0029970817860276444,25000.000000000062
G0_H1,dressed_prompt,lepton_plus_pt_GeV,37.605329393983034,0.11969388300402875,25000.000000000062
G0_H1,dressed_prompt,lepton_minus_pt_GeV,37.818932728263746,0.12039876767142102,25000.000000000062
G0_H1,dressed_prompt,delta_phi_ll_lab,1.6009205795458914,0.0057550001266419015,25000.000000000062
G0_H1,dressed_prompt,delta_phi_ll_tt,1.600899789354055,0.005754380625548671,25000.000000000062
G0_H1,dressed_prompt,cos_opening_ll_tt,-0.11787256676100352,0.003621850062560642,25000.000000000062
G0_H1,dressed_prompt,opening_ll_tt,1.7107503335663532,0.004297827232816599,25000.000000000062
G0_H1,dressed_prompt,cp_triple_product,-0.0018240503456919365,0.002996039482529819,25000.000000000062
G1_H1,dressed_prompt,lepton_plus_pt_GeV,37.62836628052914,0.11969435266698619,25000.000000000062
G1_H1,dressed_prompt,lepton_minus_pt_GeV,37.84294790408103,0.12051242460815216,25000.000000000062
G1_H1,dressed_prompt,delta_phi_ll_lab,1.6004529704194073,0.005754089349740293,25000.000000000062
G1_H1,dressed_prompt,delta_phi_ll_tt,1.6004998278350762,0.005753553073646106,25000.000000000062
G1_H1,dressed_prompt,cos_opening_ll_tt,-0.11816235307725538,0.0036182115075692016,25000.000000000062
G1_H1,dressed_prompt,opening_ll_tt,1.711011695337195,0.004293795763669115,25000.000000000062
G1_H1,dressed_prompt,cp_triple_product,-0.0019882532826098727,0.00299839859852695,25000.000000000062
