contrast,representation,coefficient,effect,standard_error,z,effective_events
hadron_qed_main_effect,hard,Ckn,0.0,0.0,0.0,25000.000000000062
hadron_qed_main_effect,hard,Cnk,0.0,0.0,0.0,25000.000000000062
hadron_qed_main_effect,hard,Crn,0.0,0.0,0.0,25000.000000000062
hadron_qed_main_effect,hard,Cnr,0.0,0.0,0.0,25000.000000000062
gamma_x_hadron_interaction,hard,B1k,0.0,0.0,0.0,25000.000000000062
gamma_x_hadron_interaction,hard,B1r,0.0,0.0,0.0,25000.000000000062
gamma_x_hadron_interaction,hard,B1n,0.0,0.0,0.0,25000.000000000062
gamma_x_hadron_interaction,hard,B2k,0.0,0.0,0.0,25000.000000000062
gamma_x_hadron_interaction,hard,B2r,0.0,0.0,0.0,25000.000000000062
gamma_x_hadron_interaction,hard,B2n,0.0,0.0,0.0,25000.000000000062
gamma_x_hadron_interaction,hard,Ckk,0.0,0.0,0.0,25000.000000000062
gamma_x_hadron_interaction,hard,Crr,0.0,0.0,0.0,25000.000000000062
gamma_x_hadron_interaction,hard,Cnn,0.0,0.0,0.0,25000.000000000062
gamma_x_hadron_interaction,hard,Ckr,0.0,0.0,0.0,25000.000000000062
gamma_x_hadron_interaction,hard,Crk,0.0,0.0,0.0,25000.000000000062
gamma_x_hadron_interaction,hard,Ckn,0.0,0.0,0.0,25000.000000000062
gamma_x_hadron_interaction,hard,Cnk,0.0,0.0,0.0,25000.000000000062
gamma_x_hadron_interaction,hard,Crn,0.0,0.0,0.0,25000.000000000062
gamma_x_hadron_interaction,hard,Cnr,0.0,0.0,0.0,25000.000000000062
gamma_main_effect,bare,B1k,-0.00021693545633760144,0.0007105372866249777,-0.3053118540309626,25000.000000000062
gamma_main_effect,bare,B1r,9.599492290751361e-05,0.0007258662717823949,0.1322487717631432,25000.000000000062
gamma_main_effect,bare,B1n,0.0002408665453009002,0.0006800703306196969,0.3541788760015698,25000.000000000062
gamma_main_effect,bare,B2k,0.0010440316750249346,0.0007497104006981379,1.392579953609716,25000.000000000062
