file	events	bytes	sha256	path
full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0021.hepmc3	25000	569451455	38217a773a65a85725cd6029a2c81bc621c94b36282523c8e434a38d3cb91878	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/shower/phase12b_exactchain_v1/20260821T175012Z_P12B_1M_40x25k_P6_exact_v1/hepmc3/full6f365_ee_LR100_epmum_WT_A07F3_S0/full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0021.hepmc3
full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0022.hepmc3	25000	569410304	5c8d193c75416a0d5e9d68bb7f9db57dc2e0a7fbb4e8d276fae40c58c0ec9735	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/shower/phase12b_exactchain_v1/20260821T175012Z_P12B_1M_40x25k_P6_exact_v1/hepmc3/full6f365_ee_LR100_epmum_WT_A07F3_S0/full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0022.hepmc3
full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0023.hepmc3	25000	570443487	b6ea4cec066f4193691d2c3d7d3d8a7ddf0e15e38d05e699211dc8a1c5a64ff1	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/shower/phase12b_exactchain_v1/20260821T175012Z_P12B_1M_40x25k_P6_exact_v1/hepmc3/full6f365_ee_LR100_epmum_WT_A07F3_S0/full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0023.hepmc3
full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0024.hepmc3	25000	570233508	23ef67b624bd7a929053aa941c5f0d2f218ffb30abf484f55aaad03cadce9d0a	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/shower/phase12b_exactchain_v1/20260821T175012Z_P12B_1M_40x25k_P6_exact_v1/hepmc3/full6f365_ee_LR100_epmum_WT_A07F3_S0/full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0024.hepmc3
full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0025.hepmc3	25000	570723462	a5ca37a8becc6930fa6319b7a7640be73f845c8924519b1a145a686e976e0a73	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/shower/phase12b_exactchain_v1/20260821T175012Z_P12B_1M_40x25k_P6_exact_v1/hepmc3/full6f365_ee_LR100_epmum_WT_A07F3_S0/full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0025.hepmc3
full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0026.hepmc3	25000	571620352	5a992f3815a00d97a99f0867b21150a7aacadc8c9bc9569e0ee1d592bb487c3a	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/shower/phase12b_exactchain_v1/20260821T175012Z_P12B_1M_40x25k_P6_exact_v1/hepmc3/full6f365_ee_LR100_epmum_WT_A07F3_S0/full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0026.hepmc3
full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0027.hepmc3	25000	571421509	78892de9872eea3a134855c3167d089af7968da77518650499b18d2bf62ef025	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/shower/phase12b_exactchain_v1/20260821T175012Z_P12B_1M_40x25k_P6_exact_v1/hepmc3/full6f365_ee_LR100_epmum_WT_A07F3_S0/full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0027.hepmc3
full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0028.hepmc3	25000	571965706	0e34eede0e40b4312b72c8aa92ddb109eff779330cd33809f7e46fbecc90a7ad	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/shower/phase12b_exactchain_v1/20260821T175012Z_P12B_1M_40x25k_P6_exact_v1/hepmc3/full6f365_ee_LR100_epmum_WT_A07F3_S0/full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0028.hepmc3
full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0029.hepmc3	25000	572395096	4996c3952a2b765c3fdcfb4e2f520db974f86b44122d115513dd1d4588c33f2d	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/shower/phase12b_exactchain_v1/20260821T175012Z_P12B_1M_40x25k_P6_exact_v1/hepmc3/full6f365_ee_LR100_epmum_WT_A07F3_S0/full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0029.hepmc3
full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0030.hepmc3	25000	572078618	354adfdd72f794eaca675ca6209a898bda710565e126de262db6eb63eaddb00d	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/shower/phase12b_exactchain_v1/20260821T175012Z_P12B_1M_40x25k_P6_exact_v1/hepmc3/full6f365_ee_LR100_epmum_WT_A07F3_S0/full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0030.hepmc3
full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0031.hepmc3	25000	570335189	a25566c73fe9d17fb4027962005c65219600f9e88622b133aefc9811d531c6b2	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/shower/phase12b_exactchain_v1/20260821T175012Z_P12B_1M_40x25k_P6_exact_v1/hepmc3/full6f365_ee_LR100_epmum_WT_A07F3_S0/full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0031.hepmc3
full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0032.hepmc3	25000	570395724	7aa07ac4234465d62e3b1636a450e86454a215513d9033192e83d13151c21760	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/shower/phase12b_exactchain_v1/20260821T175012Z_P12B_1M_40x25k_P6_exact_v1/hepmc3/full6f365_ee_LR100_epmum_WT_A07F3_S0/full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0032.hepmc3
full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0033.hepmc3	25000	570158650	e0e971d4799aa0630c1ad80c61411550f574ac2581eef678c5c7ef3c9a8c750c	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/shower/phase12b_exactchain_v1/20260821T175012Z_P12B_1M_40x25k_P6_exact_v1/hepmc3/full6f365_ee_LR100_epmum_WT_A07F3_S0/full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0033.hepmc3
full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0034.hepmc3	25000	570606376	d4beee128e3591576936ad2e22524fc85b5b5cfce5c5c94851389453832a8f0e	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/shower/phase12b_exactchain_v1/20260821T175012Z_P12B_1M_40x25k_P6_exact_v1/hepmc3/full6f365_ee_LR100_epmum_WT_A07F3_S0/full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0034.hepmc3
full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0035.hepmc3	25000	569236379	09ec96b623b9e5490a5093e1e471a595b938bef7ef36a8dcf93bffc238b2d8db	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/shower/phase12b_exactchain_v1/20260821T175012Z_P12B_1M_40x25k_P6_exact_v1/hepmc3/full6f365_ee_LR100_epmum_WT_A07F3_S0/full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0035.hepmc3
full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0036.hepmc3	25000	573224177	574c52e151b249ed400c1c96bccce34bfe26164a390af0dc3020fde60afdaec2	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/shower/phase12b_exactchain_v1/20260821T175012Z_P12B_1M_40x25k_P6_exact_v1/hepmc3/full6f365_ee_LR100_epmum_WT_A07F3_S0/full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0036.hepmc3
full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0037.hepmc3	25000	571072736	1951b47c71b7d03da9061d2604ecbac2e44711e025eb860ea919b4d5a3a47e77	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/shower/phase12b_exactchain_v1/20260821T175012Z_P12B_1M_40x25k_P6_exact_v1/hepmc3/full6f365_ee_LR100_epmum_WT_A07F3_S0/full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0037.hepmc3
full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0038.hepmc3	25000	571206348	918cc45760334067801c06a012e917f71f2d13d13e0e4e46270a909bf463d446	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/shower/phase12b_exactchain_v1/20260821T175012Z_P12B_1M_40x25k_P6_exact_v1/hepmc3/full6f365_ee_LR100_epmum_WT_A07F3_S0/full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0038.hepmc3
full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0039.hepmc3	25000	572990325	67f7b21cbd413b49320c1bfc661857adff19eb832f775387494d2c4e9eeee9c5	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/shower/phase12b_exactchain_v1/20260821T175012Z_P12B_1M_40x25k_P6_exact_v1/hepmc3/full6f365_ee_LR100_epmum_WT_A07F3_S0/full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0039.hepmc3
full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0040.hepmc3	25000	570596682	7fbc586abbd56d67c05538104d7acb3b559a0e84f5cee75e72dc0a2bb13b10d2	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/shower/phase12b_exactchain_v1/20260821T175012Z_P12B_1M_40x25k_P6_exact_v1/hepmc3/full6f365_ee_LR100_epmum_WT_A07F3_S0/full6f365_ee_LR100_epmum_WT_A07F3_S0__P12_1M_0040.hepmc3
