proc	shard_id	input_lhe	input_sha256	start	stop	pythia_seed
24	P12_1M_0025	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/whizard_raw/S0_P12_1M_0025/phase11c_S0_P12_1M_0025_seed412100025.lhe	5cd4d83d67b7c5fd42fef6c215396499956642ad23b4ab7ab9716d314a13d45c	600000	625000	812100025
25	P12_1M_0026	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/whizard_raw/S0_P12_1M_0026/phase11c_S0_P12_1M_0026_seed412100026.lhe	bad3bf56256272268525b73a3aeb7003c7cf677ec5ce4d23a8700c8de2d0f68f	625000	650000	812100026
26	P12_1M_0027	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/whizard_raw/S0_P12_1M_0027/phase11c_S0_P12_1M_0027_seed412100027.lhe	882e39745751cbf6292be5dbd6d871d4313db7260368af457783b35ca92f6af2	650000	675000	812100027
27	P12_1M_0028	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/whizard_raw/S0_P12_1M_0028/phase11c_S0_P12_1M_0028_seed412100028.lhe	d6057245e43b4a3d006b174e8298e3b263b8a6aeb5f064fc8f30b85085b65a9f	675000	700000	812100028
28	P12_1M_0029	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/whizard_raw/S0_P12_1M_0029/phase11c_S0_P12_1M_0029_seed412100029.lhe	db3c889e14d894fcc721eec56f29fd3d977d2f462b4e137982e261f4cda28a67	700000	725000	812100029
29	P12_1M_0030	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/whizard_raw/S0_P12_1M_0030/phase11c_S0_P12_1M_0030_seed412100030.lhe	e2493f2c8a41259c189f68a974b2b7196feb904142c9c30e6050017f7b6d46db	725000	750000	812100030
30	P12_1M_0031	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/whizard_raw/S0_P12_1M_0031/phase11c_S0_P12_1M_0031_seed412100031.lhe	138747c80ae1ba32af6b0ef288d91ef4ba22e302b934007938dcd66e8203c25d	750000	775000	812100031
31	P12_1M_0032	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/whizard_raw/S0_P12_1M_0032/phase11c_S0_P12_1M_0032_seed412100032.lhe	2cee5853af0ac00dcbce0aabee675142d6628c4b16a3c7d74d6bf83d87f0461a	775000	800000	812100032
32	P12_1M_0033	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/whizard_raw/S0_P12_1M_0033/phase11c_S0_P12_1M_0033_seed412100033.lhe	b1e880ca3ff6dcff76c252ae6b5762e3ea0a5f33fbdc9bed66473d7b30cf2d19	800000	825000	812100033
33	P12_1M_0034	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/whizard_raw/S0_P12_1M_0034/phase11c_S0_P12_1M_0034_seed412100034.lhe	1f1bd376991f431e190c7d3949662906fa064b466687dae0c5be34f671cd2708	825000	850000	812100034
34	P12_1M_0035	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/whizard_raw/S0_P12_1M_0035/phase11c_S0_P12_1M_0035_seed412100035.lhe	fe8e8008b7c6de28856b070563e7e45833138a259bb5e38385a54b768db17c37	850000	875000	812100035
35	P12_1M_0036	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/whizard_raw/S0_P12_1M_0036/phase11c_S0_P12_1M_0036_seed412100036.lhe	7abac3f775ecff265f575facefc872ab99a0222c97ddaff575c503650dcf0c52	875000	900000	812100036
36	P12_1M_0037	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/whizard_raw/S0_P12_1M_0037/phase11c_S0_P12_1M_0037_seed412100037.lhe	929b500460fbcd0e0c88caec21063efc46bf5d4a635f816ae00ea84635e41ae3	900000	925000	812100037
37	P12_1M_0038	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/whizard_raw/S0_P12_1M_0038/phase11c_S0_P12_1M_0038_seed412100038.lhe	d6f1c4e00c0b24a847d9d02a7e15d7f53e20828af92dc5a813f800e6af1510d8	925000	950000	812100038
38	P12_1M_0039	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/whizard_raw/S0_P12_1M_0039/phase11c_S0_P12_1M_0039_seed412100039.lhe	c262d46606a2503d276db2f1bf1e5234d13966781be8ce9171a7532fa9033578	950000	975000	812100039
39	P12_1M_0040	/eos/user/c/cglenn/FCCWork/whizard/whizard_ttbar_spinpol/production/full6f_365gev_ee_ttbar_spinpol_v1/phase12_production_v1/20260821T162202Z_WT_A07F3_S0_1M_40x25k_v1p0p1/whizard_raw/S0_P12_1M_0040/phase11c_S0_P12_1M_0040_seed412100040.lhe	0854c6c61b76a57a494606aae057966d2e73d8986c0201b6b3a6063eda0152db	975000	1000000	812100040
